Sr,Zip Code,City,State,Population,Male,Female,Area,Density
1,79936,EL PASO,TX,114734,56170,58564,26.74,4291
2,60629,CHICAGO,IL,113833,54974,58859,6.81,16713
3,11368,CORONA,NY,107962,58332,49630,2.63,41019
4,90650,NORWALK,CA,105940,52844,53096,9.81,10801
5,11220,BROOKLYN,NY,103089,53376,49713,1.79,57559
6,90201,BELL GARDENS,CA,101932,51794,50138,5.94,17172
7,90011,LOS ANGELES,CA,100882,50624,50258,4.29,23538
8,91331,PACOIMA,CA,100535,50338,50197,8.85,11356
9,11385,RIDGEWOOD,NY,99379,49011,50368,3.61,27506
10,77084,HOUSTON,TX,99266,48936,50330,30.75,3229
11,11373,ELMHURST,NY,99159,50558,48601,1.53,64937
12,10467,BRONX,NY,98754,46656,52098,2.33,42384
13,92335,FONTANA,CA,98460,49857,48603,17.33,5682
14,11226,BROOKLYN,NY,98325,44409,53916,1.29,76280
15,60618,CHICAGO,IL,97413,48941,48472,5.06,19248
16,10025,NEW YORK,NY,97390,43572,53818,0.75,129508
17,11236,BROOKLYN,NY,97217,43496,53721,3.6,27042
18,11219,BROOKLYN,NY,96971,48925,48046,1.48,65433
19,77449,KATY,TX,95615,47212,48403,29.89,3199
20,90280,SOUTH GATE,CA,95000,46711,48289,7.31,13005
21,11234,BROOKLYN,NY,94259,44198,50061,7.55,12490
22,90250,HAWTHORNE,CA,93994,45623,48371,6.7,14039
23,11211,BROOKLYN,NY,93271,46187,47084,2.3,40588
24,11208,BROOKLYN,NY,93107,43320,49787,3.46,26941
25,90805,LONG BEACH,CA,92991,45335,47656,7.37,12619
26,8701,LAKEWOOD,NJ,92586,46211,46375,24.59,3765
27,11207,BROOKLYN,NY,92491,41316,51175,2.67,34628
28,60639,CHICAGO,IL,91934,45428,46506,4.88,18851
29,92503,RIVERSIDE,CA,90989,45342,45647,29.87,3046
30,60632,CHICAGO,IL,90845,46337,44508,7.43,12232
31,92683,WESTMINSTER,CA,90640,45221,45419,10,9065
32,92336,FONTANA,CA,90633,44854,45779,24.87,3644
33,78521,BROWNSVILLE,TX,90446,42404,48042,93.14,971
34,75052,GRAND PRAIRIE,TX,89743,43616,46127,26.16,3431
35,91342,SYLMAR,CA,89686,44709,44977,55.1,1628
36,10456,BRONX,NY,87723,41312,46411,1.02,86172
37,90044,LOS ANGELES,CA,87590,41812,45778,5.14,17051
38,10314,STATEN ISLAND,NY,87276,41432,45844,13.72,6364
39,92704,SANTA ANA,CA,87208,43129,44079,7.39,11794
40,60647,CHICAGO,IL,87146,44219,42927,4.05,21533
41,11377,WOODSIDE,NY,86316,43070,43246,2.55,33889
42,94565,PITTSBURG,CA,86204,41968,44236,30.2,2855
43,60623,CHICAGO,IL,85158,42223,42935,5.36,15900
44,92376,RIALTO,CA,84699,42306,42393,13.52,6266
45,91744,LA PUENTE,CA,84674,42681,41993,8.79,9633
46,92804,ANAHEIM,CA,84648,41777,42871,7.01,12084
47,11212,BROOKLYN,NY,84520,34878,49642,1.54,54954
48,11230,BROOKLYN,NY,84219,40774,43445,1.84,45771
49,92154,SAN DIEGO,CA,84060,42972,41088,36.96,2274
50,60804,CICERO,IL,84042,42625,41417,7.66,10966
51,30043,LAWRENCEVILLE,GA,83855,41590,42265,32.53,2578
